"Age","Domestic","Foreign","Left Handed","Right Handed","InningsBatted","RunsScored","HighestInnScore","BattingAVG","BattingS/R","InningsBowled","Overs","RunsConceded","Wickets","BowlingAVG","EconomyRate","ValueinCR"
"28","0","1","0","1","9","112","44","14.00","125.84","1","1","13","0","0","13.00","11.50"
"26","1","0","0","1","10","153","47","21.85","134.21","0","0","0","0","0","20.00","9.00"
"26","1","0","1","0","6","84","25","0","120.00","10","32","228","5","45.60","7.12","3.80"
"32","1","0","0","1","17","153","25","21.85","113.33","25","81.2","640","18","35.55","7.86","0.55"
"22","1","0","1","0","26","217","35","13.56","111.28","41","125","867","27","32.11","6.93","8.75"
"21","1","0","1","0","20","241","46","17.21","139.30","14","22","176","7","25.14","8.00","6.50"
"21","0","1","0","1","2","0","0","0.00","0.00","2","6","45","2","22.50","7.50","4.20"
"35","1","0","0","1","63","456","45","11.12","109.88","164","583","4031","145","27.80","6.91","5.00"
"20","1","0","0","1","23","339","50","16.95","118.53","15","22.1","221","3","73.66","9.96","3.80"
"31","0","1","1","0","8","61","22","8.71","92.42","12","33","305","8","38.12","9.24","1.50"
"33","0","1","0","1","93","2018","95","25.22","151.84","56","107","915","22","41.59","8.55","11.00"
"31","1","0","0","1","28","187","36","11.00","134.53","61","210.4","1808","78","23.17","8.58","10.75"
"24","0","1","0","1","2","1","1","1.00","50.00","2","6","60","0","0","10.00","10.75"
"27","1","0","1","0","8","60","14","8.57","111.11","8","20","136","9","15.11","6.80","2.40"
"32","0","1","1","0","0","0","0","0","0.00","3","10","95","2","47.50","9.50","2.00"
"23","0","1","1","0","7","73","28","14.60","135.18","6","6.5","59","1","59.00","8.63","1.00"
"22","1","0","1","0","10","181","47","22.62","119.86","6","10","74","1","74.00","7.40","0.95"
"26","0","1","0","1","1","1","1","1.00","33.33","0","0","0","0","0","20.00","8.25"
"26","0","1","0","1","23","195","27","15.00","157.25","35","137.3","981","46","21.32","7.13","8.00"
"34","0","1","0","1","160","3268","87","29.98","149.77","101","234","2055","65","31.61","8.78","6.00"
"29","0","1","0","1","3","6","3","3.00","75.00","5","18","153","1","153.00","8.50","2.60"
"26","0","1","0","1","3","6","6","6.00","50.00","3","11","90","1","90.00","8.18","0.75"
"33","1","0","1","0","151","2386","62","27.11","128.14","171","501.1","3816","127","30.04","7.61","16.00"
"34","0","1","1","0","32","666","66","22.96","146.37","27","68.3","469","16","29.31","6.84","8.00"
"38","0","1","0","1","107","1537","70","22.94","130.25","148","485.3","4061","167","24.31","8.36","4.40"
"28","1","0","1","0","22","399","64","22.16","120.54","11","15.4","130","4","32.50","8.29","4.00"
"33","0","1","0","1","9","64","30","9.14","112.28","24","76.3","698","25","27.92","9.12","3.60"
"30","0","1","1","0","2","32","22","32.00","139.13","6","21","147","6","24.50","7.00","1.90"
"33","0","1","0","1","70","1700","88","29.31","178.57","76","210.1","1901","72","26.40","9.04","12.00"
"28","1","0","1","0","71","1820","87","28.43","132.46","16","19.1","154","7","22.00","8.03","8.00"
"27","1","0","1","0","10","370","67","41.11","128.47","4","8.3","69","3","23.00","8.11","8.00"
"23","1","0","0","1","9","48","20","6.85","97.95","26","86.1","715","25","28.60","8.29","7.25"
"28","0","1","0","1","26","316","66","19.75","140.44","37","139","1145","38","30.13","8.23","7.25"
"33","0","1","1","0","76","954","75","15.63","161.69","133","520.1","3508","143","24.53","6.74","6.00"
"37","0","1","0","1","14","180","31","15.00","151.26","17","57.1","408","13","31.38","7.13","1.00"
"23","1","0","1","0","0","0","0","0","0.00","1","2","11","1","11.00","5.50","0.20"
"28","1","0","1","0","78","953","44","17.32","125.23","108","382.3","2762","95","29.07","7.22","9.00"
"30","0","1","0","1","15","225","38","17.30","114.21","19","53.1","420","20","21.00","7.89","6.50"
"22","1","0","0","1","7","22","8","5.50","66.66","10","28","256","5","51.20","9.14","1.10"
"25","1","0","0","1","5","68","22","34.00","93.15","5","14","101","4","25.25","7.21","0.65"
"28","1","0","0","1","1","7","7","0","53.84","3","8","72","0","0","9.00","0.50"
"26","1","0","0","1","2","25","18","25.00","92.59","1","3","22","0","0","7.33","0.20"
"24","1","0","0","1","28","441","67","23.21","138.24","1","0.2","6","0","0","18.00","0.20"
"32","0","1","0","1","49","914","65","27.69","135.81","45","102","969","30","32.30","9.50","9.20"
"30","0","1","0","1","16","189","47","14.53","121.15","26","95.5","786","35","22.45","8.20","8.75"
"30","1","0","1","0","72","1143","86","22.86","138.54","81","240.4","1773","51","34.76","7.36","8.25"
"26","1","0","0","1","61","785","64","16.70","129.53","28","54.1","458","9","50.88","8.45","5.75"
"33","1","0","0","1","19","186","33","14.30","169.09","24","68","562","13","43.23","8.26","0.90"
"28","1","0","0","1","85","1476","91","27.33","153.91","60","144.5","1313","42","31.26","9.06","15.00"
"32","1","0","0","1","5","40","23","10.00","111.11","19","61","419","8","52.37","6.86","1.70"
"31","1","0","0","1","39","712","63","26.37","126.24","20","38.1","329","9","36.55","8.62","1.40"
"31","1","0","0","1","32","511","65","21.29","121.09","6","13","97","5","19.40","7.46","0.50"
"31","1","0","0","1","14","24","6","3.42","61.53","39","133.4","1175","35","33.57","8.79","0.20"
